month,monthly_sales
2008-01-01,154000
2008-02-01,96000
2008-03-01,73000
2008-04-01,51000
2008-05-01,53000
2008-06-01,59000
2008-07-01,95000
2008-08-01,169000
2008-09-01,210000
2008-10-01,278000
2008-11-01,301000
2008-12-01,245000
2009-01-01,200000
2009-02-01,118000
2009-03-01,90000
2009-04-01,84000
2009-05-01,77000
2009-06-01,91000
2009-07-01,167000
2009-08-01,169000
2009-09-01,289000
2009-10-01,347000
2009-11-01,354000
2009-12-01,203000
2010-01-01,223000
2010-02-01,104000
2010-03-01,107000
2010-04-01,96000
2010-05-01,91000
2010-06-01,105000
2010-07-01,135000
2010-08-01,211000
2010-09-01,335000
2010-10-01,460000
2010-11-01,501000
2010-12-01,326000
2011-01-01,346000
2011-02-01,261000
2011-03-01,224000
2011-04-01,172000
2011-05-01,184000
2011-06-01,197000
2011-07-01,223000
2011-08-01,272000
2011-09-01,445000
2011-10-01,560000
2011-11-01,612000
2011-12-01,467000
2012-01-01,518000
2012-02-01,404000
2012-03-01,300000
2012-04-01,243000
2012-05-01,221000
2012-06-01,234000
2012-07-01,287000
2012-08-01,343000
2012-09-01,464000
2012-10-01,680000
2012-11-01,711000
2012-12-01,610000
2013-01-01,613000
2013-02-01,392000
2013-03-01,330000
2013-04-01,322000
2013-05-01,231000
2013-06-01,271000
2013-07-01,329000
2013-08-01,401000
2013-09-01,553000
